m50w,t85w,COG,mean,ang,std,kurt,sm2std,grmn,class
-0.683002432,-0.690755184,-0.108381904,-0.920221323,-0.963656435,-0.836583544,-0.715212562,0.5,-0.333333333,1FS
-0.567728658,-0.739063112,-0.496088657,-0.887333447,-0.972046384,-0.813176646,-0.827169088,0.5,0,2FJ
-0.674577382,-0.667676089,-0.085917313,-0.580182418,-0.839467565,-0.197932888,-0.771953706,0.5,-0.333333333,2FJ
-0.511741564,-0.606542049,-0.291039011,-0.868371068,-0.969542058,-0.816487833,-0.834249693,0.5,0,2FJ
-0.748152447,-0.682766113,-0.41919518,-0.426903191,-0.49160225,0.441850099,-0.625807359,0.5,-0.333333333,2FJ
-0.672490808,-0.783113662,0.03019669,-0.658896042,-0.889108523,-0.341927632,-0.658233717,0.5,0,2FJ
-0.327667969,-0.40510994,0.415634675,-0.783632939,-0.961893424,-0.762703168,-0.769993832,0,0.333333333,4FJ
-0.333686394,-0.464111932,-0.067489115,-0.766645808,-0.970332718,-0.823376546,-0.769489239,0,0,4FJ
-0.464763687,-0.547871604,0.619490695,-0.937998553,-0.980601875,-0.898499457,-0.887399167,0.5,0,2FJ
-0.837137364,-0.746234188,0.959530345,-0.499098497,-0.236291792,0.621336257,-0.398725206,0.75,-0.666666667,1FS
-0.346154849,-0.411715468,0.421154326,-0.510653696,-0.899222283,-0.401454709,-0.784133037,0.25,0.333333333,4FJ
-0.383720111,-0.467314198,-0.248523207,-0.687734659,-0.948035507,-0.688441485,-0.669148495,0,0,4FJ
-0.010380994,-0.454564323,-0.188787662,0.066908753,-0.887638196,0.106481731,-0.641492121,0,0.333333333,4FJ
0.148553719,0.252073411,0.35169806,0.602299662,-0.477725197,0.682208183,-0.516432883,-0.25,0.666666667,4FJ
-0.800713895,-0.74459673,-0.678317446,-0.603687867,-0.686760553,0.019832308,-0.526325998,0.5,-0.666666667,2FJ
-0.839788208,-0.876637661,-0.504478827,-0.796274525,-0.888790787,-0.494203724,-0.343868246,0.75,-0.333333333,1FS
-0.472605494,-0.528987508,-0.321705426,-0.941158949,-0.987180242,-0.930598678,-0.833576819,0.5,0,2FJ
-0.815278919,-0.761964152,-0.313178959,-0.808521061,-0.836937602,-0.451195841,-0.497115285,0.5,-0.666666667,1FS
-0.749342739,-0.765833864,0.711932232,-0.722103971,-0.766904357,-0.257494882,-0.484672357,0.5,-0.333333333,1FS
-0.664606433,-0.760623871,0.043786617,-0.611786382,-0.863299582,-0.223495347,-0.687266919,0.5,0,2FJ
-0.703935704,-0.755775339,0.396173774,-0.543245285,-0.743198405,0.078226711,-0.531825434,0.75,-0.333333333,2FJ
-0.476735281,-0.636928481,-0.481144515,-0.789163633,-0.957443968,-0.710057585,-0.840350016,0.25,0.333333333,4FJ
-0.789108341,-0.753652777,-0.312931576,-0.881506466,-0.921308135,-0.680157321,-0.552677506,0.5,-0.666666667,1FS
-0.375708607,-0.46753831,-0.206654315,-0.612378957,-0.940459898,-0.643645343,-0.673997484,0,0,4FJ
-0.678446427,-0.554616281,0.022194305,-0.881605229,-0.935985636,-0.76435692,-0.664518078,0.5,0,1FS
-0.593892523,-0.798040747,-0.494087666,-0.877358446,-0.979607268,-0.821890089,-0.792773983,0.5,0,4FJ
-0.605903188,-0.764297718,-0.636034449,-0.870642603,-0.974716161,-0.778949767,-0.854215003,0.5,0,4FJ
-0.828070495,-0.710854988,0.866590505,-0.779484919,-0.817267011,-0.39299622,-0.449836085,0.75,-0.333333333,1FS
-0.799074034,-0.744064288,-0.705570567,-0.563689099,-0.695454923,0.071050581,-0.617085033,0.5,-0.333333333,2FJ
-0.733115806,-0.852616462,0.663838843,-0.474210375,-0.752876648,0.289619728,-0.283226872,0.75,-0.333333333,2FJ
-0.693966639,-0.727863073,-0.631903059,-0.873111663,-0.958763266,-0.747248778,-0.718737845,0.5,0,2FJ
-0.595280245,-0.509023109,0.675921877,-0.135356619,-0.502247259,0.709840316,-0.854452325,0.5,0,2FJ
-0.762829023,-0.744718852,-0.313465784,-0.889703744,-0.935872933,-0.720354827,-0.606211693,0.5,-0.333333333,1FS
-0.896785635,-0.843737112,-0.239565588,-0.575046774,-0.453280973,0.366676986,0.113988593,0.75,-0.666666667,1FS
-0.703454331,-0.700235415,0.802614005,-0.866297058,-0.893499106,-0.659921954,-0.675793785,0.75,-0.333333333,4FJ
-0.712779005,-0.927888947,-0.691228408,-0.526159391,-0.880367674,-0.091128198,-0.7796385,0.75,0,4FJ
-0.747092644,-0.868768888,-0.733773087,-0.851680225,-0.955100236,-0.687399676,-0.785739976,0.75,-0.333333333,4FJ
-0.928606456,-0.829796192,0.139006342,-0.665118072,-0.475966426,0.261537874,0.687385889,0.75,-0.666666667,1FS
-0.437702735,-0.310381594,0.158496007,-0.148393254,-0.265210537,0.849391978,-0.894816015,0.75,-0.333333333,2FJ
-0.515039461,-0.697487609,-0.420294394,-0.408138337,-0.902580441,-0.209100536,-0.808377361,0.25,0,4FJ
0.009224536,-0.341022901,0.114533965,-0.830446311,-0.990666223,-0.947233779,-0.271456972,-0.75,0,4FJ
-0.512487958,-0.758878837,-0.597760679,-0.70511684,-0.942394511,-0.511293473,-0.845551943,0.5,0,4FJ
-0.027077095,-0.446330181,-0.165397252,-0.157084345,-0.911417078,-0.234545956,-0.574315776,-0.25,0.333333333,4FJ
-0.360476964,-0.573329285,-0.174800312,-0.362905163,-0.909464411,-0.381856352,-0.683807386,0,0.333333333,4FJ
-0.410567369,-0.537049664,-0.305306926,-0.520233648,-0.920583852,-0.444393083,-0.778177468,0,0,4FJ
-0.667876678,-0.767522984,-0.205491431,-0.944714395,-0.979231941,-0.890643225,-0.762427405,0.75,-0.333333333,1FS
-0.504605531,-0.486560776,0.489059449,-0.060889778,-0.637140762,0.304394775,-0.870998709,0.5,0.333333333,4FJ
-0.819036997,-0.695436883,0.51984127,-0.906098301,-0.926281745,-0.771422688,-0.337366294,0.75,-0.333333333,1FS
-0.416287397,-0.408791793,-0.358983368,-0.336140555,-0.848924398,-0.199179818,-0.779780501,0,0,4FJ
-0.928839997,-0.92090076,-0.150716511,-0.774645562,-0.797673592,-0.25045146,0.331839277,0.75,-0.333333333,1FS
-0.197368288,-0.322552064,0.145299145,-0.807730962,-0.987757595,-0.9167097,-0.360606349,-0.5,0.333333333,4FJ
-0.473697778,-0.391992582,-0.359454361,-0.585120538,-0.823645393,-0.421584141,-0.860975427,0.25,0,4FJ
